| min_x | final_x | max_x | max_abs_x | min_y | final_y | max_y | max_abs_y |
| -72 | 6 | 13 | 72 | -28 | 86 | 108 | 108 |
| -1 | 121 | 143 | 143 | -39 | 59 | 83 | 83 |
| -47 | -32 | 34 | 47 | -65 | 74 | 88 | 88 |
| -1 | 173 | 177 | 177 | -63 | 3 | 21 | 63 |
| -9 | 18 | 74 | 74 | -34 | 32 | 43 | 43 |
| 0 | 37 | 81 | 81 | 0 | 199 | 231 | 231 |
| -71 | -70 | 24 | 71 | -91 | -40 | 6 | 91 |
| -48 | 40 | 65 | 65 | -24 | 30 | 37 | 37 |
| -98 | -49 | 9 | 98 | -24 | 25 | 70 | 70 |
| 0 | 80 | 102 | 102 | -61 | 42 | 64 | 64 |
| -88 | -44 | 0 | 88 | -69 | -60 | 54 | 69 |
| -37 | 9 | 40 | 40 | -84 | -15 | 34 | 84 |
| -59 | -26 | 23 | 59 | -63 | -52 | 64 | 64 |
| -28 | 32 | 57 | 57 | -78 | -24 | 16 | 78 |
| -28 | 154 | 162 | 162 | -35 | 12 | 54 | 54 |
| 1 | 61 | 75 | 75 | -74 | -43 | 23 | 74 |
| -43 | 58 | 82 | 82 | -104 | -54 | 3 | 104 |
| -144 | -119 | 27 | 144 | -1 | 77 | 125 | 125 |
| -123 | -14 | 25 | 123 | -101 | -98 | 38 | 101 |
| -60 | -55 | 40 | 60 | -50 | -19 | 15 | 50 |
| -71 | -60 | 38 | 71 | -1 | 160 | 186 | 186 |
| -131 | -125 | 35 | 131 | -4 | 61 | 107 | 107 |
| -113 | -110 | 7 | 113 | -80 | -72 | 30 | 80 |
| -4 | 113 | 141 | 141 | -26 | 37 | 68 | 68 |
| -45 | 53 | 73 | 73 | -95 | -41 | 32 | 95 |
| -6 | 126 | 132 | 132 | -43 | 44 | 54 | 54 |
| -16 | 65 | 90 | 90 | -66 | -29 | 62 | 66 |
| -82 | -24 | 17 | 82 | -22 | 22 | 74 | 74 |
| -5 | 37 | 106 | 106 | -48 | 71 | 82 | 82 |
| -35 | 79 | 116 | 116 | -148 | -109 | 6 | 148 |
| -14 | 33 | 74 | 74 | -24 | 5 | 41 | 41 |
| -37 | 75 | 118 | 118 | -50 | -27 | 31 | 50 |
| -7 | 83 | 120 | 120 | -68 | -67 | 36 | 68 |
| -81 | -69 | 2 | 81 | -3 | 59 | 123 | 123 |
| -93 | -49 | 3 | 93 | -2 | 21 | 74 | 74 |
| -16 | 30 | 71 | 71 | -57 | 56 | 75 | 75 |
| -110 | -107 | 25 | 110 | -91 | -21 | 18 | 91 |
| -11 | 24 | 93 | 93 | -35 | 52 | 61 | 61 |
| -4 | 118 | 139 | 139 | -80 | -52 | 2 | 80 |
| -97 | -93 | 25 | 97 | -73 | 13 | 60 | 73 |
| -67 | -14 | 28 | 67 | -81 | -54 | 14 | 81 |
| -49 | -41 | 21 | 49 | -36 | -23 | 61 | 61 |
| -6 | 23 | 71 | 71 | -6 | 21 | 47 | 47 |
| -61 | -19 | 32 | 61 | -91 | -65 | 1 | 91 |
| -107 | -73 | 4 | 107 | -104 | -103 | 22 | 104 |
| -157 | -87 | 3 | 157 | -55 | -3 | 11 | 55 |
| -40 | 41 | 42 | 42 | -43 | -7 | 52 | 52 |
| -59 | -6 | 54 | 59 | -82 | 52 | 88 | 88 |
| -42 | 42 | 51 | 51 | -43 | -16 | 53 | 53 |
| -46 | 40 | 57 | 57 | -66 | -8 | 68 | 68 |
| -10 | 95 | 114 | 114 | -74 | -13 | 19 | 74 |
| -96 | -37 | 12 | 96 | -127 | -123 | 33 | 127 |
| -68 | -18 | 7 | 68 | -49 | -26 | 47 | 49 |
| -16 | 36 | 59 | 59 | -3 | 76 | 111 | 111 |
| -50 | 22 | 32 | 50 | -6 | 136 | 138 | 138 |
| -111 | -72 | 3 | 111 | -48 | -10 | 7 | 48 |
| -21 | -8 | 31 | 31 | -91 | -12 | 58 | 91 |
| -97 | -95 | 37 | 97 | -24 | 33 | 92 | 92 |
| -41 | 9 | 67 | 67 | -6 | 33 | 86 | 86 |
| -3 | 52 | 104 | 104 | -154 | -108 | 11 | 154 |
| -101 | -77 | 12 | 101 | -40 | 39 | 64 | 64 |
| -81 | -77 | 1 | 81 | -27 | 119 | 129 | 129 |
| -23 | 125 | 132 | 132 | -7 | 43 | 105 | 105 |
| -77 | -17 | 22 | 77 | -147 | -9 | 11 | 147 |
| -9 | 84 | 115 | 115 | -22 | 14 | 56 | 56 |
| -7 | 63 | 83 | 83 | -12 | 47 | 55 | 55 |
| -77 | -39 | 6 | 77 | -37 | -3 | 25 | 37 |
| -76 | -57 | 5 | 76 | -167 | -157 | 6 | 167 |
| -14 | 90 | 97 | 97 | -88 | -20 | 10 | 88 |
| -35 | -13 | 37 | 37 | -69 | -53 | 38 | 69 |
| -59 | -24 | 56 | 59 | -64 | -40 | 18 | 64 |
| -153 | -142 | 1 | 153 | -79 | -66 | 15 | 79 |
| -46 | 22 | 67 | 67 | -32 | 24 | 75 | 75 |
| -167 | -126 | 23 | 167 | -77 | -42 | 19 | 77 |
| -5 | 46 | 63 | 63 | -48 | 56 | 62 | 62 |
| -41 | 21 | 70 | 70 | -71 | 7 | 34 | 71 |
| -58 | 5 | 37 | 58 | -73 | -19 | 19 | 73 |
| -53 | -33 | 23 | 53 | -55 | -23 | 16 | 55 |
| -62 | 22 | 45 | 62 | -33 | -4 | 47 | 47 |
| -137 | -65 | 10 | 137 | -5 | 281 | 287 | 287 |
| -35 | -19 | 30 | 35 | -33 | -3 | 60 | 60 |
| -82 | -10 | 42 | 82 | -19 | 60 | 84 | 84 |
| -66 | 47 | 48 | 66 | -43 | 3 | 30 | 43 |
| -7 | 88 | 89 | 89 | -188 | -156 | 8 | 188 |
| -40 | -23 | 50 | 50 | -20 | 41 | 64 | 64 |
| -90 | -58 | 11 | 90 | -4 | 180 | 210 | 210 |
| -112 | -101 | 6 | 112 | -87 | -79 | 70 | 87 |
| -156 | -155 | 6 | 156 | -86 | -59 | 5 | 86 |
| -130 | -126 | 10 | 130 | -72 | -42 | 3 | 72 |
| -55 | -22 | 31 | 55 | -61 | 58 | 71 | 71 |
| -17 | 80 | 88 | 88 | -34 | 110 | 112 | 112 |
| -124 | -90 | 5 | 124 | -53 | -36 | 23 | 53 |
| -27 | 66 | 71 | 71 | -23 | 12 | 51 | 51 |
| -22 | 65 | 67 | 67 | -7 | 31 | 86 | 86 |
| -18 | 85 | 95 | 95 | -216 | -205 | 9 | 216 |
| -36 | 26 | 59 | 59 | -131 | -126 | 15 | 131 |
| -27 | 4 | 81 | 81 | -57 | 12 | 16 | 57 |
| -102 | -30 | 22 | 102 | -6 | 138 | 140 | 140 |
| -47 | -42 | 89 | 89 | -87 | -52 | 14 | 87 |
| -5 | 27 | 145 | 145 | -57 | 27 | 61 | 61 |
| -54 | -26 | 23 | 54 | -16 | 6 | 89 | 89 |
| -4 | 112 | 119 | 119 | -100 | -76 | 3 | 100 |
| -1 | 104 | 134 | 134 | -78 | 70 | 78 | 78 |
| -62 | -22 | 27 | 62 | -66 | -64 | 65 | 66 |
| -101 | -80 | 19 | 101 | -80 | -46 | 0 | 80 |
| -51 | -48 | 57 | 57 | -9 | 140 | 157 | 157 |
| -51 | 75 | 103 | 103 | -47 | -33 | 23 | 47 |
| -31 | 8 | 72 | 72 | -109 | -30 | 26 | 109 |
| -86 | -23 | 32 | 86 | -125 | -113 | 14 | 125 |
| -189 | -119 | 28 | 189 | -54 | 31 | 71 | 71 |
| -99 | -87 | 9 | 99 | -24 | 65 | 98 | 98 |
| -56 | -46 | 23 | 56 | -16 | 124 | 125 | 125 |
| -62 | 33 | 44 | 62 | -19 | 7 | 82 | 82 |
| -62 | 10 | 22 | 62 | 0 | 34 | 72 | 72 |
| -2 | 80 | 104 | 104 | -32 | 56 | 65 | 65 |
| -145 | -64 | 15 | 145 | -57 | -4 | 23 | 57 |
| -193 | -178 | 17 | 193 | -89 | -10 | 18 | 89 |
| -24 | 72 | 97 | 97 | -112 | -82 | 22 | 112 |
| -103 | -74 | 7 | 103 | -46 | 6 | 35 | 46 |
| -89 | -12 | 29 | 89 | -24 | 14 | 94 | 94 |
| -56 | -22 | 58 | 58 | -39 | -36 | 33 | 39 |
| -111 | -57 | 7 | 111 | -81 | -37 | 74 | 81 |
| -19 | 87 | 101 | 101 | -76 | -37 | 4 | 76 |
| -90 | -3 | 14 | 90 | -3 | 115 | 143 | 143 |
| -32 | 3 | 36 | 36 | -3 | 77 | 82 | 82 |
| -140 | -66 | 21 | 140 | -13 | 76 | 112 | 112 |
| -15 | 80 | 106 | 106 | -108 | -12 | 14 | 108 |
| -83 | -15 | 16 | 83 | -4 | 93 | 152 | 152 |
| -104 | -78 | 14 | 104 | -8 | 42 | 87 | 87 |
| -68 | -68 | 28 | 68 | 0 | 40 | 86 | 86 |
| -30 | 36 | 47 | 47 | -53 | 56 | 80 | 80 |
| -29 | 71 | 107 | 107 | -64 | -57 | 37 | 64 |
| -98 | -67 | 1 | 98 | -97 | -75 | 2 | 97 |
| -36 | 10 | 40 | 40 | -111 | -18 | 9 | 111 |
| -23 | 36 | 67 | 67 | -7 | 106 | 122 | 122 |
| -26 | -15 | 38 | 38 | -105 | -61 | 23 | 105 |
| -13 | 122 | 144 | 144 | -18 | 42 | 71 | 71 |
| -27 | 19 | 60 | 60 | -106 | -93 | 3 | 106 |
| -98 | -91 | 42 | 98 | -64 | -13 | 31 | 64 |
| -71 | -24 | 32 | 71 | -29 | 92 | 111 | 111 |
| -40 | -1 | 40 | 40 | -88 | -81 | 7 | 88 |
| -26 | 31 | 56 | 56 | -39 | -5 | 24 | 39 |
| -37 | -28 | 61 | 61 | -104 | 28 | 36 | 104 |
| -194 | -191 | 1 | 194 | -68 | -63 | 29 | 68 |
| -99 | -48 | 17 | 99 | -11 | 38 | 84 | 84 |
| -90 | -37 | 6 | 90 | -33 | 47 | 57 | 57 |
| -37 | 67 | 73 | 73 | -22 | 73 | 88 | 88 |
| -127 | -114 | 21 | 127 | -25 | 48 | 66 | 66 |
| -71 | -51 | 20 | 71 | -59 | -13 | 14 | 59 |
| -32 | 1 | 52 | 52 | -41 | 49 | 98 | 98 |
| -98 | -9 | 63 | 98 | -84 | -73 | 23 | 84 |
| -37 | -35 | 46 | 46 | -84 | -33 | 41 | 84 |
| -16 | 12 | 48 | 48 | -140 | -58 | 14 | 140 |
| -83 | -82 | 33 | 83 | -87 | -38 | 5 | 87 |
| -8 | 116 | 130 | 130 | -47 | -14 | 78 | 78 |
| -93 | -77 | 1 | 93 | -84 | -81 | 11 | 84 |
| -32 | 81 | 94 | 94 | -85 | -19 | 23 | 85 |
| -162 | -111 | 11 | 162 | -180 | -161 | 7 | 180 |
| -41 | -7 | 57 | 57 | -30 | 21 | 47 | 47 |
| -159 | -159 | 17 | 159 | -44 | 39 | 84 | 84 |
| -132 | -66 | 29 | 132 | -44 | 130 | 136 | 136 |
| -86 | -8 | 60 | 86 | -156 | -152 | 12 | 156 |
| -11 | 126 | 138 | 138 | -12 | 84 | 107 | 107 |
| -46 | 163 | 165 | 165 | -14 | 5 | 54 | 54 |
| -90 | -61 | 24 | 90 | -61 | -45 | 40 | 61 |
| -52 | -38 | 18 | 52 | -25 | -16 | 41 | 41 |
| -99 | -64 | 11 | 99 | -21 | 62 | 108 | 108 |
| -32 | 21 | 54 | 54 | -11 | 97 | 104 | 104 |
| -64 | 1 | 20 | 64 | -99 | -25 | 34 | 99 |
| -33 | 72 | 83 | 83 | -75 | -66 | 15 | 75 |
| -73 | 7 | 29 | 73 | -42 | -29 | 64 | 64 |
| -5 | 90 | 114 | 114 | -17 | 86 | 89 | 89 |
| -55 | -40 | 35 | 55 | 1 | 64 | 83 | 83 |
| -65 | -43 | 28 | 65 | -106 | -99 | 1 | 106 |
| -34 | -24 | 44 | 44 | -118 | -106 | 4 | 118 |
| -87 | -86 | 31 | 87 | -3 | 64 | 105 | 105 |
| -50 | -40 | 38 | 50 | -66 | -20 | 9 | 66 |
| -76 | -26 | 5 | 76 | -59 | 8 | 30 | 59 |
| -54 | -13 | 17 | 54 | -81 | -75 | 22 | 81 |
| -4 | 86 | 90 | 90 | -104 | -86 | 22 | 104 |
| -57 | 2 | 4 | 57 | -65 | -44 | 40 | 65 |
| -1 | 47 | 67 | 67 | -96 | -3 | 13 | 96 |
| -71 | 72 | 75 | 75 | -47 | -20 | 19 | 47 |
| -3 | 3 | 72 | 72 | -46 | -15 | 25 | 46 |
| -40 | -25 | 44 | 44 | -27 | -3 | 31 | 31 |
| -17 | 11 | 55 | 55 | -39 | -11 | 20 | 39 |
| -23 | 49 | 66 | 66 | -82 | -65 | 13 | 82 |
| -6 | 19 | 112 | 112 | -38 | -33 | 55 | 55 |
| -24 | 20 | 77 | 77 | -44 | 12 | 24 | 44 |
| -20 | 18 | 52 | 52 | -31 | 6 | 37 | 37 |
| -63 | 96 | 107 | 107 | -36 | -2 | 38 | 38 |
| -27 | 11 | 76 | 76 | -45 | -31 | 31 | 45 |
| -25 | 15 | 35 | 35 | -20 | -9 | 66 | 66 |
| -87 | 12 | 18 | 87 | -37 | 80 | 97 | 97 |
| -84 | 5 | 17 | 84 | -148 | -121 | 2 | 148 |
| -45 | 15 | 19 | 45 | -34 | 41 | 68 | 68 |
| -84 | -58 | 4 | 84 | -9 | 88 | 108 | 108 |
| -37 | 4 | 39 | 39 | -125 | -96 | 3 | 125 |
| -4 | 124 | 144 | 144 | -2 | 46 | 80 | 80 |
| -41 | 91 | 110 | 110 | -63 | -5 | 32 | 63 |
| -3 | 113 | 128 | 128 | -53 | -33 | 18 | 53 |
| -35 | -24 | 50 | 50 | -9 | 114 | 128 | 128 |
| -69 | -49 | 13 | 69 | -42 | 5 | 23 | 42 |
| -9 | 140 | 140 | 140 | -141 | -126 | 22 | 141 |
| -112 | -10 | 4 | 112 | -115 | -94 | 7 | 115 |
| -38 | 12 | 48 | 48 | -41 | -2 | 13 | 41 |
| -126 | -41 | 1 | 126 | -88 | -79 | 32 | 88 |
| -2 | 4 | 93 | 93 | -75 | -66 | 14 | 75 |
| -93 | -42 | 9 | 93 | -15 | 36 | 75 | 75 |
| -20 | -9 | 61 | 61 | -142 | -109 | 17 | 142 |
| -62 | 84 | 88 | 88 | -28 | 50 | 73 | 73 |
| -71 | -62 | 29 | 71 | -9 | 124 | 153 | 153 |
| -77 | -6 | 12 | 77 | -11 | 70 | 89 | 89 |
| -71 | 37 | 44 | 71 | -87 | 29 | 35 | 87 |
| -7 | 117 | 130 | 130 | -20 | -5 | 45 | 45 |
| -102 | -90 | 13 | 102 | -5 | 80 | 92 | 92 |
| -3 | 43 | 106 | 106 | -79 | -65 | 23 | 79 |
| -47 | 17 | 27 | 47 | -13 | 93 | 106 | 106 |
| -5 | 84 | 161 | 161 | -40 | -20 | 30 | 40 |
| -69 | 36 | 61 | 69 | -107 | -100 | 2 | 107 |
| -21 | 65 | 81 | 81 | -50 | -3 | 61 | 61 |
| -86 | -86 | 15 | 86 | -58 | 42 | 48 | 58 |
| -136 | -98 | 23 | 136 | -8 | 14 | 58 | 58 |
| -22 | 87 | 100 | 100 | -42 | 53 | 55 | 55 |
| -37 | 16 | 48 | 48 | -43 | 18 | 35 | 43 |
| -62 | -6 | 26 | 62 | -83 | -34 | 4 | 83 |
| -8 | 35 | 115 | 115 | -93 | -75 | 8 | 93 |
| -69 | 10 | 24 | 69 | -5 | 100 | 115 | 115 |
| -50 | -40 | 6 | 50 | -45 | -2 | 49 | 49 |
| -10 | -3 | 80 | 80 | -11 | 85 | 96 | 96 |
| -84 | 98 | 98 | 98 | -9 | 132 | 159 | 159 |
| -58 | -9 | 18 | 58 | -49 | -39 | 50 | 50 |
| -22 | 45 | 71 | 71 | -38 | 67 | 94 | 94 |
| -45 | 56 | 99 | 99 | -19 | 10 | 101 | 101 |
| -49 | -8 | 39 | 49 | -55 | -54 | 82 | 82 |
| -2 | 144 | 148 | 148 | -17 | 86 | 113 | 113 |
| -147 | -129 | 23 | 147 | -28 | -3 | 36 | 36 |
| -52 | 8 | 33 | 52 | -21 | 92 | 113 | 113 |
| -23 | 66 | 107 | 107 | -14 | 174 | 180 | 180 |
| -4 | 85 | 117 | 117 | -2 | 135 | 144 | 144 |
| -77 | -30 | 0 | 77 | -86 | -46 | 55 | 86 |
| -51 | -43 | 27 | 51 | -26 | -5 | 78 | 78 |
| -100 | -50 | 34 | 100 | -145 | -124 | 20 | 145 |
| -103 | -39 | 27 | 103 | -127 | -97 | 18 | 127 |
| -92 | -27 | 30 | 92 | -11 | -5 | 59 | 59 |
| -47 | -33 | 39 | 47 | -161 | -161 | 15 | 161 |
| -169 | -140 | 5 | 169 | -84 | -28 | 24 | 84 |
| -21 | 81 | 103 | 103 | -72 | -31 | 8 | 72 |
| -18 | 11 | 53 | 53 | -77 | -49 | 48 | 77 |
| -20 | -18 | 60 | 60 | -6 | 8 | 60 | 60 |
| -2 | 44 | 94 | 94 | -61 | -30 | 10 | 61 |
| -107 | -21 | 23 | 107 | -92 | -71 | 12 | 92 |
| -84 | -67 | 40 | 84 | -71 | -45 | 31 | 71 |
| -100 | -47 | 15 | 100 | 1 | 51 | 85 | 85 |
| -62 | -26 | 22 | 62 | -20 | 14 | 50 | 50 |
| -134 | -128 | 23 | 134 | -68 | -34 | 22 | 68 |
| -73 | -52 | 12 | 73 | -50 | 54 | 58 | 58 |
| -85 | -73 | 2 | 85 | -36 | -19 | 35 | 36 |
| -52 | 10 | 45 | 52 | -28 | 8 | 93 | 93 |
| -119 | -32 | 0 | 119 | -25 | 24 | 55 | 55 |
| -1 | 24 | 69 | 69 | -3 | 82 | 108 | 108 |
| -45 | 16 | 78 | 78 | -60 | 44 | 58 | 60 |
| -35 | 65 | 71 | 71 | -26 | 37 | 61 | 61 |
| -4 | 93 | 104 | 104 | -39 | 47 | 85 | 85 |
| -17 | 65 | 91 | 91 | -70 | -69 | 38 | 70 |
| -40 | -28 | 9 | 40 | -53 | -36 | 21 | 53 |
| -44 | 9 | 44 | 44 | -41 | -17 | 20 | 41 |
| -69 | -56 | 37 | 69 | -107 | -104 | 15 | 107 |
| -45 | -1 | 27 | 45 | -84 | -71 | 17 | 84 |
| -4 | 70 | 127 | 127 | -93 | -88 | 15 | 93 |
| -36 | 8 | 31 | 36 | -105 | -94 | 33 | 105 |
| -16 | 53 | 75 | 75 | -212 | -157 | 5 | 212 |
| -41 | -7 | 45 | 45 | -45 | -17 | 38 | 45 |
| -53 | 24 | 29 | 53 | -174 | -174 | 16 | 174 |
| -34 | -3 | 55 | 55 | -9 | 193 | 216 | 216 |
| -75 | -56 | 7 | 75 | -96 | -36 | 29 | 96 |
| -65 | -18 | 15 | 65 | -5 | 34 | 68 | 68 |
| -60 | 37 | 46 | 60 | -159 | -153 | 28 | 159 |
| -44 | -1 | 52 | 52 | -65 | -49 | 45 | 65 |
| -45 | 51 | 71 | 71 | -32 | 83 | 112 | 112 |
| -36 | 136 | 139 | 139 | -88 | -38 | 16 | 88 |
| -44 | -8 | 42 | 44 | -57 | -36 | 32 | 57 |
| -53 | 64 | 69 | 69 | -22 | 36 | 68 | 68 |
| -25 | -20 | 78 | 78 | -31 | -26 | 45 | 45 |
| -104 | -83 | 14 | 104 | -73 | -33 | 2 | 73 |
| -32 | 72 | 87 | 87 | -73 | -12 | 18 | 73 |
| -93 | -82 | 17 | 93 | -70 | -20 | 8 | 70 |
| -65 | 10 | 17 | 65 | -38 | -28 | 71 | 71 |
| -70 | -62 | 70 | 70 | -88 | -36 | 1 | 88 |
| -37 | 24 | 30 | 37 | -30 | 62 | 105 | 105 |
| -65 | 7 | 26 | 65 | -10 | 225 | 234 | 234 |
| -23 | 30 | 73 | 73 | -98 | -68 | 1 | 98 |
| -54 | 32 | 65 | 65 | -87 | -62 | 3 | 87 |
| -36 | 86 | 102 | 102 | -118 | -100 | 5 | 118 |
| -46 | 2 | 40 | 46 | -105 | -92 | 4 | 105 |
| -92 | -58 | 22 | 92 | -116 | -106 | 10 | 116 |
| -59 | 0 | 26 | 59 | -1 | 146 | 163 | 163 |
| -27 | 115 | 144 | 144 | -124 | -121 | 17 | 124 |
| -79 | -78 | 6 | 79 | -12 | 52 | 63 | 63 |
| -134 | -122 | 4 | 134 | -24 | 72 | 85 | 85 |
| -10 | 95 | 104 | 104 | -59 | -27 | 54 | 59 |
| -104 | -41 | 10 | 104 | -107 | -101 | 22 | 107 |
| -50 | -15 | 36 | 50 | -29 | 21 | 32 | 32 |
| -149 | -119 | 0 | 149 | -1 | 53 | 81 | 81 |
| -32 | -29 | 64 | 64 | -70 | -61 | 30 | 70 |
| -45 | 7 | 35 | 45 | -139 | -133 | 23 | 139 |
| -43 | 27 | 31 | 43 | -33 | 99 | 134 | 134 |
| -135 | -128 | 9 | 135 | -98 | -90 | 7 | 98 |
| -57 | -28 | 12 | 57 | -67 | -46 | 22 | 67 |
| -45 | -18 | 37 | 45 | -8 | 38 | 63 | 63 |
| -93 | -80 | 20 | 93 | -56 | 42 | 94 | 94 |
| -20 | 112 | 154 | 154 | -64 | -64 | 72 | 72 |
| -37 | 47 | 52 | 52 | -19 | 47 | 56 | 56 |
| -93 | -1 | 25 | 93 | -117 | -79 | 36 | 117 |
| -10 | 34 | 78 | 78 | -50 | -30 | 34 | 50 |
| -61 | 1 | 71 | 71 | -57 | -17 | 28 | 57 |
| -13 | 12 | 85 | 85 | -85 | 6 | 23 | 85 |
| -86 | -58 | 3 | 86 | -17 | 132 | 135 | 135 |
| -92 | -55 | 6 | 92 | -36 | 17 | 55 | 55 |
| -99 | -66 | 10 | 99 | -25 | 36 | 63 | 63 |
| -131 | -117 | 5 | 131 | -21 | -17 | 107 | 107 |
| -57 | 22 | 35 | 57 | -34 | -26 | 46 | 46 |
| -27 | 106 | 145 | 145 | -28 | 26 | 91 | 91 |
| -117 | -31 | 15 | 117 | -56 | 41 | 55 | 56 |
| -125 | -95 | 28 | 125 | -55 | -31 | 10 | 55 |
| -56 | 6 | 25 | 56 | -1 | 154 | 164 | 164 |
| -72 | -35 | 10 | 72 | -79 | -75 | 38 | 79 |
| -22 | 54 | 59 | 59 | -26 | 88 | 111 | 111 |
| -31 | -8 | 83 | 83 | -28 | 26 | 74 | 74 |
| -29 | 12 | 31 | 31 | -30 | 46 | 102 | 102 |
| -85 | -14 | 40 | 85 | -57 | 20 | 26 | 57 |
| -143 | -83 | 10 | 143 | -118 | -11 | 29 | 118 |
| -11 | 140 | 147 | 147 | -159 | -150 | 13 | 159 |
| -101 | -83 | 1 | 101 | -76 | 39 | 43 | 76 |
| -60 | 0 | 29 | 60 | -52 | 60 | 76 | 76 |
| -87 | -74 | 17 | 87 | -129 | -128 | 36 | 129 |
| -35 | -33 | 29 | 35 | -90 | -89 | -1 | 90 |
| -70 | -15 | 23 | 70 | -139 | -127 | 20 | 139 |
| -44 | -17 | 93 | 93 | -38 | -25 | 39 | 39 |
| -9 | 15 | 70 | 70 | -88 | -67 | 27 | 88 |
| -18 | 18 | 132 | 132 | -98 | -60 | 31 | 98 |
| -26 | 15 | 43 | 43 | -80 | -43 | 11 | 80 |
| -75 | -41 | 29 | 75 | -86 | 13 | 36 | 86 |
| -44 | 11 | 60 | 60 | -91 | -45 | 35 | 91 |
| -62 | -41 | 64 | 64 | -19 | 15 | 79 | 79 |
| -27 | 10 | 63 | 63 | -148 | -144 | 30 | 148 |
| -50 | 37 | 49 | 50 | -159 | -157 | 9 | 159 |
| -22 | 42 | 63 | 63 | -84 | -84 | 20 | 84 |
| -16 | 91 | 136 | 136 | -7 | 51 | 93 | 93 |
| -19 | 103 | 137 | 137 | -73 | -45 | 14 | 73 |
| -107 | -60 | 4 | 107 | -66 | -6 | 63 | 66 |
| -131 | -107 | 40 | 131 | -118 | -69 | 9 | 118 |
| -111 | -101 | 4 | 111 | -24 | 9 | 53 | 53 |
| -20 | 19 | 55 | 55 | -65 | -45 | 25 | 65 |
| -11 | 76 | 78 | 78 | -14 | 0 | 50 | 50 |
| -48 | 9 | 21 | 48 | -40 | 97 | 110 | 110 |
| -44 | 4 | 27 | 44 | -33 | 42 | 65 | 65 |
| -36 | -14 | 64 | 64 | -14 | 122 | 130 | 130 |
| -40 | 88 | 89 | 89 | -21 | 54 | 97 | 97 |
| -71 | -10 | 24 | 71 | -87 | -40 | 0 | 87 |
| -43 | -11 | 54 | 54 | -21 | 29 | 48 | 48 |
| -90 | -60 | 22 | 90 | -94 | 12 | 36 | 94 |
| -149 | -147 | 20 | 149 | -5 | 103 | 103 | 103 |
| -46 | -24 | 31 | 46 | -127 | -108 | 23 | 127 |
| -114 | -72 | 16 | 114 | -14 | 52 | 67 | 67 |
| -73 | -71 | 22 | 73 | -34 | -33 | 99 | 99 |
| -42 | -7 | 41 | 42 | -38 | -23 | 37 | 38 |
| -10 | 69 | 84 | 84 | -22 | 53 | 76 | 76 |
| -63 | -53 | 21 | 63 | -45 | 69 | 80 | 80 |
| -25 | 118 | 137 | 137 | -62 | 54 | 54 | 62 |
| -32 | -17 | 64 | 64 | -57 | 7 | 12 | 57 |
| -71 | -70 | 27 | 71 | -52 | -24 | 35 | 52 |
| -54 | 32 | 78 | 78 | -57 | -14 | 18 | 57 |
| -25 | 15 | 55 | 55 | -40 | -11 | 19 | 40 |
| -6 | 120 | 123 | 123 | -15 | 12 | 45 | 45 |
| -17 | 137 | 138 | 138 | -28 | 53 | 59 | 59 |
| -102 | -86 | 21 | 102 | -57 | 46 | 48 | 57 |
| -33 | 2 | 51 | 51 | -14 | 104 | 113 | 113 |
| -167 | -154 | 19 | 167 | -103 | -66 | 45 | 103 |
| -74 | 117 | 134 | 134 | -31 | 15 | 65 | 65 |
| -60 | 42 | 51 | 60 | -76 | -72 | 44 | 76 |
| -3 | 93 | 140 | 140 | -56 | -51 | 41 | 56 |
| -46 | -46 | 80 | 80 | -137 | -86 | 0 | 137 |
| -62 | 69 | 71 | 71 | -103 | -47 | 6 | 103 |
| -58 | 45 | 60 | 60 | -76 | 1 | 38 | 76 |
| -34 | 11 | 43 | 43 | -52 | 53 | 63 | 63 |
| -52 | -18 | 34 | 52 | -112 | -88 | 0 | 112 |
| -81 | 4 | 34 | 81 | -4 | 36 | 76 | 76 |
| -113 | -86 | 13 | 113 | -9 | 62 | 101 | 101 |
| -35 | 42 | 58 | 58 | -97 | -80 | 27 | 97 |
| -32 | 46 | 76 | 76 | -5 | 44 | 87 | 87 |
| -143 | -124 | 27 | 143 | -31 | 8 | 82 | 82 |
| -178 | -159 | 3 | 178 | -26 | 91 | 114 | 114 |
| -72 | -71 | 15 | 72 | -22 | -21 | 43 | 43 |
| -48 | -41 | 77 | 77 | -4 | 33 | 56 | 56 |
| -74 | -62 | 3 | 74 | -68 | -56 | 22 | 68 |
| -40 | -33 | 78 | 78 | -57 | 15 | 41 | 57 |
| -120 | -102 | 3 | 120 | -38 | 72 | 72 | 72 |
| -105 | -89 | 0 | 105 | -155 | -127 | 12 | 155 |
| 1 | 47 | 91 | 91 | -82 | 83 | 94 | 94 |
| -56 | -39 | 51 | 56 | -14 | 127 | 134 | 134 |
| -84 | -48 | 30 | 84 | -82 | -24 | 7 | 82 |
| -16 | 55 | 84 | 84 | -79 | -21 | 37 | 79 |
| -59 | -31 | 17 | 59 | -15 | 131 | 139 | 139 |
| -108 | -101 | 19 | 108 | -90 | 1 | 5 | 90 |
| -50 | 25 | 29 | 50 | -63 | 53 | 60 | 63 |
| -56 | -22 | 26 | 56 | -58 | -6 | 39 | 58 |
| -30 | 189 | 190 | 190 | -91 | -85 | 8 | 91 |
| -38 | -26 | 43 | 43 | -73 | -72 | 19 | 73 |
| -23 | 71 | 95 | 95 | -135 | -93 | 16 | 135 |
